Trade #,Ticker,Trade Enter,Trade Exit,Expiry Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,Realized Gain $,Realized Gain %,Open/Closed,Notes
1,FSLR,2025-08-14,2025-08-18,2025-10-17,175,C,3,1,19.4,1940,4600,5700,293.81,Closed,"Added 3 on 8/14 @ 19.40, Sold 2 on 8/15 @ 34.60, Sold 1 on 8/18 @ 46.00"
2,FSLR,2025-08-14,2025-08-18,2025-08-29,180,P,1,1,9.25,925,60,-865,-93.51,Closed,"Added 1 on 8/14 @ 9.25, Sold 1 on 8/18 @ 0.60"
3,PDD,2025-08-14,2025-08-22,2025-10-17,110,C,3,2,10.75,2150,4000,2745,127.67,Closed,"Added 3 on 8/14 @ 10.75, Sold 1 on 8/22 @ 19.70, Sold 2 on 8/22 @ 20.00"
4,PDD,2025-08-14,2025-08-21,2025-08-29,120,P,1,1,8,800,365,-435,-54.37,Closed,"Added 1 on 8/14 @ 8.00, Sold 1 on 8/21 @ 3.65"
5,ZM,2025-08-14,2025-08-20,2025-10-17,65,C,2,2,9.15,1830,1780,-50,-2.73,Closed,"Added 2 on 8/14 @ 9.15, Sold 2 on 8/20 @ 8.90"
6,UNH,2025-08-15,2025-08-22,2026-01-16,320,C,2,2,21.9,4380,4740,870,19.86,Closed,"Added 2 on 8/15 @ 22.50, Sold 1 on 8/18 @ 27.60, Added 1 on 8/20 @ 21.30, Sold 2 on 8/22 @ 23.70"
7,BABA,2025-08-15,2025-08-22,2026-01-16,110,C,2,2,19.9,3980,4000,20,0.5,Closed,"Added 2 on 8/15 @ 19.90, Sold 2 on 8/22 @ 20.00"
8,BABA,2025-08-15,2025-08-20,2025-08-29,124,P,1,1,5.3,530,675,145,27.36,Closed,"Added 1 on 8/15 @ 5.30, Sold 1 on 8/20 @ 6.75"
9,SLV,2025-08-15,2025-08-22,2025-09-19,34,C,20,20,1.24,2480,3680,1200,48.39,Closed,"Added 20 on 8/15 @ 1.24, Sold 20 on 8/22 @ 1.84"
10,SLV,2025-08-15,2025-08-20,2025-09-19,34.5,P,8,8,0.94,752,696,-56,-7.45,Closed,"Added 10 on 8/15 @ 1.24, Sold 8 on 8/20 @ 0.87"
11,NTNX,2025-08-15,2025-08-22,2025-10-17,65,C,4,3,8.1,2430,2160,-390,-16.05,Closed,"Added 4 on 8/15 @ 8.10, Sold 1 on 8/21 @ 6.90, Sold 3 on 8/22 @ 7.20"
12,UNH,2025-08-15,2025-08-19,2025-08-29,295,P,1,1,5.55,555,430,-125,-22.52,Closed,"Added 1 on 8/15 @ 5.55, Sold 1 on 8/19 @ 4.30"
13,NTNX,2025-08-15,2025-08-20,2025-09-19,75,P,1,1,8,800,860,60,7.5,Closed,"Added 1 on 8/15 @ 8.00, Sold 1 on 8/20 @ 8.60"
14,TGT,2025-08-15,2025-08-20,2025-10-17,95,C,2,1,11.85,1185,620,-370,-31.22,Closed,"Added 2 on 8/15 @ 11.85, Sold 1 on 8/19 @ 13.80, Sold 1 on 8/20 @ 6.20"
15,TGT,2025-08-15,2025-08-19,2025-08-29,103,P,2,2,5,1000,780,-220,-22,Closed,"Added 2 on 8/15 @ 5.00, Sold 2 on 8/19 @ 3.90"
16,TSLA,2025-08-15,2025-08-22,2026-01-16,320,C,2,2,51.85,10370,10800,430,4.15,Closed,"Added 2 on 8/15 @ 51.85, Sold 2 on 8/22 @ 54.00"
17,TSLA,2025-08-15,2025-08-20,2025-09-19,320,P,2,1,12,1200,1710,310,25.83,Closed,"Added 2 on 8/15 @ 12.00, Sold 1 on 8/18 @ 10.00, Sold 1 on 8/20 @ 17.10"
18,RIVN,2025-08-15,2025-08-22,2025-10-17,11,C,48,12,1.88,2256,2544,324,14.36,Closed,"Added 48 on 8/15 @ 1.88, Sold 36 on 8/15 @ 1.89, Sold 12 on 8/22 @ 2.12"
19,AMZN,2025-08-15,2025-08-22,2026-01-16,220,C,2,2,24.9,4980,4500,-480,-9.64,Closed,"Added 2 on 8/15 @ 24.90, Sold 2 on 8/22 @ 22.50"
20,AMZN,2025-08-15,2025-08-19,2025-09-19,235,P,1,1,8.35,835,900,65,7.78,Closed,"Added 1 on 8/15 @ 8.35, Sold 1 on 8/19 @ 9.00"
21,RIOT,2025-08-18,2025-08-22,2026-01-16,12,C,12,9,2.15,1935,2835,948,48.99,Closed,"Added 12 contracts on 8/18 @ 2.15, Sold 3 on 8/19 @ 2.31, Sold 9 on 8/22 @ 3.15"
22,RKLB,2025-08-18,2025-08-19,2025-10-17,47,C,4,4,5.85,2340,1600,-740,-31.62,Closed,"Added 4 contracts on 8/18 @ 5.85, Sold 4 on 8/19 @ 4.00"
