,Phoenix Trades - 25K-75K Challenge,,,,,,,,,,,,,,
Trade #,Ticker,Trade Enter,Trade Exit,Exp Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,% Gain,$ Gain,Open/Closed,Notes
1,AMZN,16-May,3-Jun,16-Jan,195,C,1,1,"$2,892.50 ","$2,892.50 ","$2,970.00 ",2.68%,$77.50 ,Closed,
2,ANF,16-May,28-May,16-Jan,70,C,1,1,"$2,140.00 ","$2,140.00 ","$4,000.00 ",86.92%,"$1,860.00 ",Closed,
3,META,16-May,19-May,15-Aug,640,C,1,1,"$4,250.00 ","$4,250.00 ","$4,900.00 ",15.29%,$650.00 ,Closed,
4,QQQ,16-May,19-May,21-May,522,P,2,2,$495.00 ,$990.00 ,"$1,280.00 ",29.29%,$290.00 ,Closed,
5,MSFT,16-May,26-Jun,16-Jan,500,C,1,1,"$2,211.00 ","$2,211.00 ","$3,500.00 ",58.30%,"$1,289.00 ",Closed,
6,QQQ,19-May,27-May,30-May,522,P,2,2,"$1,270.00 ","$1,680.00 ","$1,046.00 ",-37.74%,($634.00),Closed,2 contracts added at 8.4 on 5/19
7,TSLA,19-May,21-May,15-Aug,390,C,1,1,"$2,580.00 ","$2,580.00 ","$2,440.00 ",-5.43%,($140.00),Closed,
8,META,19-May,,16-Jan,745,C,1,1,"$4,020.00 ","$4,020.00 ","$3,900.00 ",-2.99%,($120.00),Closed,
9,HOOD,19-May,21-May,15-Aug,55,C,1,1,"$1,345.00 ","$1,345.00 ","$1,375.00 ",2.23%,$30.00 ,Closed,
11,HOOD,21-May,,16-Jan,55,C,1,1,"$1,880.00 ","$1,880.00 ","$1,840.00 ",-2.13%,($40.00),Closed,
12,AMD,23-May,9-Jun,16-Jan,105,C,1,1,"$1,940.00 ","$1,940.00 ","$2,850.00 ",46.91%,$910.00 ,Closed,
13,SHOP,23-May,5-Jun,18-Jul,100,C,1,2,$975.00 ,"$2,050.00 ","$2,090.00 ",1.95%,$40.00 ,Closed,
14,SOFI,23-May,29-May,18-Jul,12,C,6,5,$170.00 ,$850.00 ,$885.00 ,4.12%,$35.00 ,Closed,
15,ARM,23-May,29-May,18-Jul,125,C,1,1,"$1,095.00 ","$1,095.00 ","$1,185.00 ",8.22%,$90.00 ,Closed,
16,QQQ,27-May,3-Jun,6-Jun,520,P,3,2,$683.00 ,"$1,403.00 ",$306.00 ,-78.19%,"($1,097.00)",Closed,
17,HOOD,27-May,29-May,20-Jun,66,C,3,3,$435.00 ,"$1,305.00 ",$960.00 ,-26.44%,($345.00),Closed,
18,BA,28-May,5-Jun,15-Aug,205,C,2,1,"$1,252.50 ","$1,252.50 ","$1,610.00 ",28.54%,$357.50 ,Closed,
19,ANF,28-May,3-Jun,18-Jul,85,C,3,3,$930.00 ,"$2,790.00 ",$810.00 ,-70.97%,"($1,980.00)",Closed,
20,ARM,28-May,29-May,6-Jun,130,P,1,1,$282.00 ,$282.00 ,$490.00 ,73.76%,$208.00 ,Closed,
21,AMZN,29-May,5-Jun,15-Aug,210,C,2,2,"$1,245.00 ","$2,490.00 ","$2,900.00 ",16.47%,$410.00 ,Closed,
22,NVDA,29-May,,15-Aug,135,C,1,1,"$1,320.00 ","$1,320.00 ","$1,040.00 ",-21.21%,($280.00),Closed,
23,TSLA,29-May,5-Jun,18-Jul,400,C,1,1,"$1,940.00 ","$1,940.00 ",$690.00 ,-64.43%,"($1,250.00)",Closed,
24,HOOD,29-May,5-Jun,18-Jul,65,C,3,2,$592.50 ,"$1,185.00 ","$2,780.00 ",134.60%,"$1,595.00 ",Closed,
25,COIN,30-May,5-Jun,15-Aug,260,C,1,1,"$2,585.00 ","$2,585.00 ","$2,765.00 ",6.96%,$180.00 ,Closed,
26,HOOD,30-May,3-Jun,6-Jun,65,P,1,1,$236.00 ,$236.00 ,$20.00 ,-91.53%,($216.00),Closed,
27,MSFT,2-Jun,5-Jun,15-Aug,465,C,1,1,"$1,950.00 ","$1,950.00 ","$2,180.00 ",11.79%,$230.00 ,Closed,
28,AMD,2-Jun,5-Jun,18-Jul,110,C,2,1,$960.00 ,$960.00 ,"$1,185.00 ",23.44%,$225.00 ,Closed,
29,SHOP,3-Jun,,18-Jul,100,C,1,1,"$1,015.00 ","$1,015.00 ",$885.00 ,-12.81%,($130.00),Closed,
30,AAPL,3-Jun,5-Jun,15-Aug,210,C,2,2,$820.00 ,"$1,640.00 ","$1,770.00 ",7.93%,$130.00 ,Closed,
31,QQQ,3-Jun,,10-Jun,530,P,2,2,$620.00 ,"$1,240.00 ",$980.00 ,-20.97%,($260.00),Closed,
32,QQQ,4-Jun,12-Jun,20-Jun,531,P,2,2,$704.50 ,"$1,409.00 ",$806.00 ,-42.80%,($603.00),Closed,
33,CRWV,4-Jun,5-Jun,20-Jun,135,P,1,1,"$1,120.00 ","$1,120.00 ","$1,240.00 ",10.71%,$120.00 ,Closed,
34,HOOD,5-Jun,12-Jun,16-Jan,70,C,1,2,"$1,857.50 ","$3,715.00 ","$3,660.00 ",-1.48%,($55.00),Closed,
35,AMZN,5-Jun,9-Jul,16-Jan,230,C,2,1,"$1,517.08 ","$1,517.08 ","$1,850.00 ",21.94%,$332.92 ,Closed,Sold 1 ON 07/08 at 17.4
36,COIN,5-Jun,25-Jun,16-Jan,320,C,1,2,"$2,931.67 ","$5,863.34 ","$18,000.00 ",206.99%,"$12,136.66 ",Closed,
37,AAPL,5-Jun,,16-Jan,215,C,2,1,"$1,575.00 ","$1,575.00 ","$1,220.00 ",-22.54%,($355.00),Closed,
