Index,Ticker,Trade Enter,Strike,C/P,Exp Date,Initial Contracts,Trade Exit,$ Gain
1,FSLR,"Aug 14, 2025",$175.00,C,"Oct 17, 2025",3,"Aug 18, 2025",$5700.00
2,FSLR,"Aug 14, 2025",$180.00,P,"Aug 29, 2025",1,"Aug 18, 2025",($865.00)
3,PDD,"Aug 14, 2025",$110.00,C,"Oct 17, 2025",3,"Aug 22, 2025",$2745.00
4,PDD,"Aug 14, 2025",$120.00,P,"Aug 29, 2025",1,"Aug 21, 2025",($435.00)
5,ZM,"Aug 14, 2025",$65.00,C,"Oct 17, 2025",2,"Aug 20, 2025",($50.00)
6,UNH,"Aug 15, 2025",$320.00,C,"Jan 16, 2026",2,"Aug 22, 2025",$870.00
7,BABA,"Aug 15, 2025",$110.00,C,"Jan 16, 2026",2,"Aug 22, 2025",$20.00
8,BABA,"Aug 15, 2025",$124.00,P,"Aug 29, 2025",1,"Aug 20, 2025",$145.00
9,SLV,"Aug 15, 2025",$34.00,C,"Sep 19, 2025",20,"Aug 22, 2025",$1200.00
10,SLV,"Aug 15, 2025",$34.50,P,"Sep 19, 2025",8,"Aug 20, 2025",($56.00)
11,NTNX,"Aug 15, 2025",$65.00,C,"Oct 17, 2025",4,"Aug 22, 2025",($390.00)
12,UNH,"Aug 15, 2025",$295.00,P,"Aug 29, 2025",1,"Aug 19, 2025",($125.00)
13,NTNX,"Aug 15, 2025",$75.00,P,"Sep 19, 2025",1,"Aug 20, 2025",$60.00
14,TGT,"Aug 15, 2025",$95.00,C,"Oct 17, 2025",2,"Aug 20, 2025",($370.00)
15,TGT,"Aug 15, 2025",$103.00,P,"Aug 29, 2025",2,"Aug 19, 2025",($220.00)
16,TSLA,"Aug 15, 2025",$320.00,C,"Jan 16, 2026",2,"Aug 22, 2025",$430.00
17,TSLA,"Aug 15, 2025",$320.00,P,"Sep 19, 2025",2,"Aug 20, 2025",$310.00
18,RIVN,"Aug 15, 2025",$11.00,C,"Oct 17, 2025",48,"Aug 22, 2025",$324.00
19,AMZN,"Aug 15, 2025",$220.00,C,"Jan 16, 2026",2,"Aug 22, 2025",($480.00)
20,AMZN,"Aug 15, 2025",$235.00,P,"Sep 19, 2025",1,"Aug 19, 2025",$65.00
21,RIOT,"Aug 18, 2025",$12.00,C,"Jan 16, 2026",12,"Aug 22, 2025",$948.00
22,RKLB,"Aug 18, 2025",$47.00,C,"Oct 17, 2025",4,"Aug 19, 2025",($740.00)
23,UBER,"Aug 18, 2025",$87.50,C,"Oct 17, 2025",3,"Aug 20, 2025",$115.00
24,BMNR,"Aug 18, 2025",$50.00,C,"Oct 17, 2025",2,"Aug 22, 2025",$280.00
25,BRKB,"Aug 18, 2025",$470.00,C,"Oct 17, 2025",2,"Aug 22, 2025",$1600.00
26,OSCR,"Aug 18, 2025",$15.00,C,"Oct 17, 2025",8,"Aug 20, 2025",($800.00)
27,GOOGL,"Aug 18, 2025",$207.50,C,"Sep 19, 2025",4,"Aug 19, 2025",($480.00)
28,GOOGL,"Aug 18, 2025",$200.00,P,"Sep 19, 2025",2,"Aug 19, 2025",$220.00
29,ZS,"Aug 19, 2025",$277.50,C,"Sep 19, 2025",2,"Aug 20, 2025",($1020.00)
30,META,"Aug 19, 2025",$755.00,C,"Sep 19, 2025",1,"Aug 22, 2025",$88.00
31,BMNR,"Aug 19, 2025",$46.00,P,"Sep 19, 2025",2,"Aug 22, 2025",($165.00)
32,META,"Aug 19, 2025",$747.50,P,"Aug 29, 2025",1,"Aug 20, 2025",$715.00
33,TGT,"Aug 19, 2025",$99.00,P,"Aug 29, 2025",1,"Aug 20, 2025",$140.00
34,META,"Aug 20, 2025",$722.50,P,"Aug 29, 2025",1,"Aug 22, 2025",($550.00)
35,NFLX,"Aug 20, 2025",$1240.00,C,"Oct 17, 2025",2,"Aug 22, 2025",$90.00
36,NFLX,"Aug 20, 2025",$1160.00,P,"Sep 05, 2025",1,"Aug 21, 2025",($465.00)
37,TSLA,"Aug 20, 2025",$300.00,P,"Sep 19, 2025",1,"Aug 22, 2025",($460.00)
38,PLTR,"Aug 20, 2025",$145.00,C,"Sep 19, 2025",3,"Aug 22, 2025",$2285.00
39,QQQ,"Aug 20, 2025",$564.00,P,"Aug 25, 2025",2,"Aug 21, 2025",$290.00
40,PLTR,"Aug 20, 2025",$157.50,P,"Aug 29, 2025",1,"Aug 22, 2025",($395.00)
41,CVNA,"Aug 21, 2025",$350.00,P,"Sep 19, 2025",1,"Aug 22, 2025",($820.00)
42,QQQ,"Aug 21, 2025",$563.00,P,"Aug 29, 2025",1,"Aug 22, 2025",($420.00)
43,IWM,"Aug 22, 2025",$230.00,C,"Sep 19, 2025",5,"Aug 22, 2025",$675.00
