Symbol,Price,Type,Description,Quantity,Commission,Amount,Date
TSLA260116C00320000,54.3,Trade,"TSLA Jan 16, 2026 $320.00 Call",-6,0,32579.32,"Aug 22, 2025"
TSLA250919P00300000,4.1,Trade,"TSLA Sep 19, 2025 $300.00 Put",-1,0,409.88,"Aug 22, 2025"
PLTR250829P00157500,2.57,Trade,"PLTR Aug 29, 2025 $157.50 Put",-1,0,256.88,"Aug 22, 2025"
BMNR250919P00046000,3.75,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,374.88,"Aug 22, 2025"
PDD251017C00110000,19.45,Trade,"PDD Oct 17, 2025 $110.00 Call",-1,0,1944.88,"Aug 22, 2025"
SLV250919C00034000,1.8,Trade,"SLV Sep 19, 2025 $34.00 Call",-20,0,3597.75,"Aug 22, 2025"
TSLA250919P00300000,4.15,Trade,"TSLA Sep 19, 2025 $300.00 Put",-1,0,414.88,"Aug 22, 2025"
IWM250919C00230000,8.37,Trade,"IWM Sep 19, 2025 $230.00 Call",-15,0,12553.32,"Aug 22, 2025"
BMNR250919P00046000,3.74,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,373.88,"Aug 22, 2025"
META250829P00722500,2.03,Trade,"META Aug 29, 2025 $722.50 Put",-1,0,202.88,"Aug 22, 2025"
AMZN260116C00220000,22.35,Trade,"AMZN Jan 16, 2026 $220.00 Call",-2,0,4469.76,"Aug 22, 2025"
RIOT260116C00012000,3,Trade,"RIOT Jan 16, 2026 $12.00 Call",-27,0,8096.97,"Aug 22, 2025"
NFLX251017C01240000,48.92,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,4891.88,"Aug 22, 2025"
NFLX251017C01240000,51,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,5099.88,"Aug 22, 2025"
NFLX251017C01240000,48.97,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,4896.88,"Aug 22, 2025"
BABA260116C00110000,19.95,Trade,"BABA Jan 16, 2026 $110.00 Call",-6,0,11969.32,"Aug 22, 2025"
IWM250919C00230000,7.44,Trade,"IWM Sep 19, 2025 $230.00 Call",5,0,-3720.54,"Aug 22, 2025"
IWM250919C00230000,7.48,Trade,"IWM Sep 19, 2025 $230.00 Call",5,0,-3740.55,"Aug 22, 2025"
RIVN251017C00011000,2.07,Trade,"RIVN Oct 17, 2025 $11.00 Call",-36,0,7447.98,"Aug 22, 2025"
CVNA250919P00350000,15.99,Trade,"CVNA Sep 19, 2025 $350.00 Put",-1,0,1598.88,"Aug 22, 2025"
UNH260116C00320000,23.65,Trade,"UNH Jan 16, 2026 $320.00 Call",-2,0,4729.76,"Aug 22, 2025"
QQQ250829P00563000,2.28,Trade,"QQQ Aug 29, 2025 $563.00 Put",-1,0,227.88,"Aug 22, 2025"
CVNA250919P00350000,16.1,Trade,"CVNA Sep 19, 2025 $350.00 Put",-1,0,1609.88,"Aug 22, 2025"
NFLX251017C01240000,51.95,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,5194.88,"Aug 22, 2025"
META250919C00755000,17.87,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1786.88,"Aug 22, 2025"
PLTR250829P00157500,2.57,Trade,"PLTR Aug 29, 2025 $157.50 Put",-1,0,256.88,"Aug 22, 2025"
QQQ250829P00563000,2.31,Trade,"QQQ Aug 29, 2025 $563.00 Put",-1,0,230.88,"Aug 22, 2025"
SLV250919C00034000,1.83,Trade,"SLV Sep 19, 2025 $34.00 Call",-20,0,3650.75,"Aug 22, 2025"
META250919C00755000,23.52,Trade,"META Sep 19, 2025 $755.00 Call",-6,0,14111.32,"Aug 22, 2025"
BMNR250919P00046000,3.77,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,376.88,"Aug 22, 2025"
BMNR251017C00050000,12.1,Trade,"BMNR Oct 17, 2025 $50.00 Call",-11,0,13308.76,"Aug 22, 2025"
QQQ250829P00563000,2.29,Trade,"QQQ Aug 29, 2025 $563.00 Put",-1,0,228.88,"Aug 22, 2025"
META250829P00722500,2.01,Trade,"META Aug 29, 2025 $722.50 Put",-1,0,200.88,"Aug 22, 2025"
PDD251017C00110000,19.1,Trade,"PDD Oct 17, 2025 $110.00 Call",-1,0,1909.88,"Aug 22, 2025"
META250919C00755000,17.87,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1786.88,"Aug 22, 2025"
PDD251017C00110000,19.67,Trade,"PDD Oct 17, 2025 $110.00 Call",-6,0,11801.31,"Aug 22, 2025"
CVNA250919P00350000,15.7,Trade,"CVNA Sep 19, 2025 $350.00 Put",-1,0,1569.88,"Aug 22, 2025"
UNH260116C00320000,23.55,Trade,"UNH Jan 16, 2026 $320.00 Call",-2,0,4709.76,"Aug 22, 2025"
UNH260116C00320000,23.72,Trade,"UNH Jan 16, 2026 $320.00 Call",-2,0,4743.76,"Aug 22, 2025"
NFLX251017C01240000,48.35,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,4834.88,"Aug 22, 2025"
PLTR250919C00145000,20.9,Trade,"PLTR Sep 19, 2025 $145.00 Call",-8,0,16719.11,"Aug 22, 2025"
NTNX251017C00065000,6.66,Trade,"NTNX Oct 17, 2025 $65.00 Call",-3,0,1997.64,"Aug 22, 2025"
NTNX251017C00065000,7,Trade,"NTNX Oct 17, 2025 $65.00 Call",-3,0,2099.64,"Aug 22, 2025"
SLV250919C00034000,1.81,Trade,"SLV Sep 19, 2025 $34.00 Call",-20,0,3617.75,"Aug 22, 2025"
IWM250919C00230000,7.47,Trade,"IWM Sep 19, 2025 $230.00 Call",5,0,-3735.55,"Aug 22, 2025"
PDD251017C00110000,19,Trade,"PDD Oct 17, 2025 $110.00 Call",-1,0,1899.88,"Aug 22, 2025"
NTNX251017C00065000,7,Trade,"NTNX Oct 17, 2025 $65.00 Call",-3,0,2099.65,"Aug 22, 2025"
AMZN260116C00220000,22.4,Trade,"AMZN Jan 16, 2026 $220.00 Call",-2,0,4479.76,"Aug 22, 2025"
AMZN260116C00220000,22.46,Trade,"AMZN Jan 16, 2026 $220.00 Call",-2,0,4491.76,"Aug 22, 2025"
META250919C00755000,17.66,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1765.88,"Aug 22, 2025"
NFLX251017C01240000,50.5,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",-1,0,5049.88,"Aug 22, 2025"
CVNA250919P00350000,24.31,Trade,"CVNA Sep 19, 2025 $350.00 Put",1,0,-2431.11,"Aug 21, 2025"
NFLX250905P01160000,9.85,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",-1,0,984.88,"Aug 21, 2025"
QQQ250825P00564000,5.4,Trade,"QQQ Aug 25, 2025 $564.00 Put",-2,0,1079.76,"Aug 21, 2025"
QQQ250829P00563000,6.59,Trade,"QQQ Aug 29, 2025 $563.00 Put",1,0,-659.11,"Aug 21, 2025"
PDD250829P00120000,3.61,Trade,"PDD Aug 29, 2025 $120.00 Put",-1,0,360.88,"Aug 21, 2025"
PDD250829P00120000,3.55,Trade,"PDD Aug 29, 2025 $120.00 Put",-1,0,354.88,"Aug 21, 2025"
NFLX250905P01160000,9.85,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",-1,0,984.88,"Aug 21, 2025"
QQQ250829P00563000,6.64,Trade,"QQQ Aug 29, 2025 $563.00 Put",1,0,-664.11,"Aug 21, 2025"
NFLX250905P01160000,9.85,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",-1,0,984.88,"Aug 21, 2025"
CVNA250919P00350000,24.5,Trade,"CVNA Sep 19, 2025 $350.00 Put",1,0,-2450.11,"Aug 21, 2025"
NTNX251017C00065000,6.93,Trade,"NTNX Oct 17, 2025 $65.00 Call",-1,0,692.88,"Aug 21, 2025"
CVNA250919P00350000,24.5,Trade,"CVNA Sep 19, 2025 $350.00 Put",1,0,-2450.11,"Aug 21, 2025"
PDD250829P00120000,3.55,Trade,"PDD Aug 29, 2025 $120.00 Put",-1,0,354.88,"Aug 21, 2025"
NTNX251017C00065000,6.9,Trade,"NTNX Oct 17, 2025 $65.00 Call",-1,0,689.88,"Aug 21, 2025"
QQQ250825P00564000,5.49,Trade,"QQQ Aug 25, 2025 $564.00 Put",-2,0,1097.76,"Aug 21, 2025"
QQQ250825P00564000,5.42,Trade,"QQQ Aug 25, 2025 $564.00 Put",-2,0,1083.76,"Aug 21, 2025"
NTNX251017C00065000,6.9,Trade,"NTNX Oct 17, 2025 $65.00 Call",-1,0,689.88,"Aug 21, 2025"
QQQ250829P00563000,6.61,Trade,"QQQ Aug 29, 2025 $563.00 Put",1,0,-661.11,"Aug 21, 2025"
UNH260116C00320000,21.25,Trade,"UNH Jan 16, 2026 $320.00 Call",1,0,-2125.11,"Aug 20, 2025"
META250919C00755000,16.6,Trade,"META Sep 19, 2025 $755.00 Call",2,0,-3320.22,"Aug 20, 2025"
PLTR250919C00145000,15.75,Trade,"PLTR Sep 19, 2025 $145.00 Call",-1,0,1574.88,"Aug 20, 2025"
META250919C00755000,16.85,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1684.88,"Aug 20, 2025"
TGT250829P00099000,3.75,Trade,"TGT Aug 29, 2025 $99.00 Put",-1,0,374.88,"Aug 20, 2025"
PLTR250829P00157500,6.54,Trade,"PLTR Aug 29, 2025 $157.50 Put",1,0,-654.11,"Aug 20, 2025"
SLV250919P00034500,0.87,Trade,"SLV Sep 19, 2025 $34.50 Put",-8,0,695.1,"Aug 20, 2025"
UBER251017C00087500,8.28,Trade,"UBER Oct 17, 2025 $87.50 Call",-2,0,1655.76,"Aug 20, 2025"
META250829P00722500,9.95,Trade,"META Aug 29, 2025 $722.50 Put",1,0,-995.11,"Aug 20, 2025"
ZS250919C00277500,15.04,Trade,"ZS Sep 19, 2025 $277.50 Call",-2,0,3007.76,"Aug 20, 2025"
BABA250829P00124000,6.65,Trade,"BABA Aug 29, 2025 $124.00 Put",-1,0,664.88,"Aug 20, 2025"
META250829P00722500,9.95,Trade,"META Aug 29, 2025 $722.50 Put",1,0,-995.11,"Aug 20, 2025"
UBER251017C00087500,8.28,Trade,"UBER Oct 17, 2025 $87.50 Call",-1,0,827.88,"Aug 20, 2025"
OSCR251017C00015000,2.22,Trade,"OSCR Oct 17, 2025 $15.00 Call",8,0,-1776.88,"Aug 20, 2025"
OSCR251017C00015000,2.23,Trade,"OSCR Oct 17, 2025 $15.00 Call",8,0,-1784.88,"Aug 20, 2025"
TGT251017C00095000,6.17,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,616.88,"Aug 20, 2025"
ZM251017C00065000,8.93,Trade,"ZM Oct 17, 2025 $65.00 Call",-2,0,1785.76,"Aug 20, 2025"
ZM251017C00065000,8.9,Trade,"ZM Oct 17, 2025 $65.00 Call",-2,0,1779.76,"Aug 20, 2025"
TSLA250919P00320000,17.05,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,1704.88,"Aug 20, 2025"
META250829P00747500,20.05,Trade,"META Aug 29, 2025 $747.50 Put",-1,0,2004.88,"Aug 20, 2025"
BABA250829P00124000,6.65,Trade,"BABA Aug 29, 2025 $124.00 Put",-1,0,664.88,"Aug 20, 2025"
TSLA250919P00320000,17.21,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,1720.88,"Aug 20, 2025"
OSCR251017C00015000,2.2,Trade,"OSCR Oct 17, 2025 $15.00 Call",-16,0,3518.21,"Aug 20, 2025"
OSCR251017C00015000,2.19,Trade,"OSCR Oct 17, 2025 $15.00 Call",-8,0,1754.08,"Aug 20, 2025"
META250919C00755000,17.15,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1714.88,"Aug 20, 2025"
META250919C00755000,17.12,Trade,"META Sep 19, 2025 $755.00 Call",-1,0,1711.88,"Aug 20, 2025"
UNH260116C00320000,21.26,Trade,"UNH Jan 16, 2026 $320.00 Call",1,0,-2126.11,"Aug 20, 2025"
BMNR250919P00046000,4.43,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,442.88,"Aug 20, 2025"
NTNX250919P00075000,8.6,Trade,"NTNX Sep 19, 2025 $75.00 Put",-1,0,859.88,"Aug 20, 2025"
BMNR250919P00046000,4.38,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,437.88,"Aug 20, 2025"
SLV250919P00034500,0.87,Trade,"SLV Sep 19, 2025 $34.50 Put",-8,0,695.11,"Aug 20, 2025"
NFLX250905P01160000,14.41,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",1,0,-1441.11,"Aug 20, 2025"
OSCR251017C00015000,2.2,Trade,"OSCR Oct 17, 2025 $15.00 Call",-16,0,3518.19,"Aug 20, 2025"
BABA250829P00124000,6.7,Trade,"BABA Aug 29, 2025 $124.00 Put",-1,0,669.88,"Aug 20, 2025"
QQQ250825P00564000,4.01,Trade,"QQQ Aug 25, 2025 $564.00 Put",2,0,-802.22,"Aug 20, 2025"
QQQ250825P00564000,4.01,Trade,"QQQ Aug 25, 2025 $564.00 Put",2,0,-802.22,"Aug 20, 2025"
TGT250829P00099000,3.75,Trade,"TGT Aug 29, 2025 $99.00 Put",-1,0,374.88,"Aug 20, 2025"
PLTR250829P00157500,6.6,Trade,"PLTR Aug 29, 2025 $157.50 Put",1,0,-660.11,"Aug 20, 2025"
BMNR251017C00050000,10.7,Trade,"BMNR Oct 17, 2025 $50.00 Call",-1,0,1069.88,"Aug 20, 2025"
TGT250829P00099000,3.75,Trade,"TGT Aug 29, 2025 $99.00 Put",-1,0,374.88,"Aug 20, 2025"
NTNX250919P00075000,8.6,Trade,"NTNX Sep 19, 2025 $75.00 Put",-1,0,859.88,"Aug 20, 2025"
NFLX251017C01240000,49.48,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",2,0,-9896.23,"Aug 20, 2025"
META250919C00755000,16.62,Trade,"META Sep 19, 2025 $755.00 Call",2,0,-3324.23,"Aug 20, 2025"
NFLX251017C01240000,49.56,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",2,0,-9912.23,"Aug 20, 2025"
META250829P00747500,19.95,Trade,"META Aug 29, 2025 $747.50 Put",-1,0,1994.88,"Aug 20, 2025"
TGT251017C00095000,6.05,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,604.88,"Aug 20, 2025"
META250829P00722500,9.8,Trade,"META Aug 29, 2025 $722.50 Put",1,0,-980.11,"Aug 20, 2025"
TGT251017C00095000,6.17,Trade,"TGT Oct 17, 2025 $95.00 Call",-1,0,616.88,"Aug 20, 2025"
ZS250919C00277500,14.89,Trade,"ZS Sep 19, 2025 $277.50 Call",-2,0,2977.76,"Aug 20, 2025"
UBER251017C00087500,8.25,Trade,"UBER Oct 17, 2025 $87.50 Call",-1,0,824.88,"Aug 20, 2025"
NFLX250905P01160000,14.58,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",1,0,-1458.11,"Aug 20, 2025"
TSLA250919P00300000,8.75,Trade,"TSLA Sep 19, 2025 $300.00 Put",1,0,-875.11,"Aug 20, 2025"
UNH260116C00320000,21.25,Trade,"UNH Jan 16, 2026 $320.00 Call",1,0,-2125.11,"Aug 20, 2025"
META250829P00747500,19.9,Trade,"META Aug 29, 2025 $747.50 Put",-1,0,1989.88,"Aug 20, 2025"
PLTR250919C00145000,11.9,Trade,"PLTR Sep 19, 2025 $145.00 Call",3,0,-3570.34,"Aug 20, 2025"
PLTR250919C00145000,11.85,Trade,"PLTR Sep 19, 2025 $145.00 Call",1,0,-1185.11,"Aug 20, 2025"
TSLA250919P00300000,8.7,Trade,"TSLA Sep 19, 2025 $300.00 Put",1,0,-870.11,"Aug 20, 2025"
META250919C00755000,16.62,Trade,"META Sep 19, 2025 $755.00 Call",2,0,-3324.23,"Aug 20, 2025"
PLTR250919C00145000,15.75,Trade,"PLTR Sep 19, 2025 $145.00 Call",-1,0,1574.88,"Aug 20, 2025"
PLTR250919C00145000,11.9,Trade,"PLTR Sep 19, 2025 $145.00 Call",3,0,-3570.34,"Aug 20, 2025"
PLTR250919C00145000,11.76,Trade,"PLTR Sep 19, 2025 $145.00 Call",3,0,-3528.34,"Aug 20, 2025"
SLV250919P00034500,0.87,Trade,"SLV Sep 19, 2025 $34.50 Put",-8,0,695.1,"Aug 20, 2025"
NFLX250905P01160000,14.6,Trade,"NFLX Sep 05, 2025 $1,160.00 Put",1,0,-1460.11,"Aug 20, 2025"
ZS250919C00277500,14.65,Trade,"ZS Sep 19, 2025 $277.50 Call",-1,0,1464.88,"Aug 20, 2025"
NFLX251017C01240000,49.95,Trade,"NFLX Oct 17, 2025 $1,240.00 Call",2,0,-9990.23,"Aug 20, 2025"
NTNX250919P00075000,8.66,Trade,"NTNX Sep 19, 2025 $75.00 Put",-1,0,865.88,"Aug 20, 2025"
BMNR250919P00046000,4.4,Trade,"BMNR Sep 19, 2025 $46.00 Put",-1,0,439.88,"Aug 20, 2025"
UBER251017C00087500,8.29,Trade,"UBER Oct 17, 2025 $87.50 Call",-2,0,1657.76,"Aug 20, 2025"
QQQ250825P00564000,3.13,Trade,"QQQ Aug 25, 2025 $564.00 Put",2,0,-626.23,"Aug 20, 2025"
ZM251017C00065000,8.94,Trade,"ZM Oct 17, 2025 $65.00 Call",-2,0,1787.76,"Aug 20, 2025"
TSLA250919P00320000,17.2,Trade,"TSLA Sep 19, 2025 $320.00 Put",-1,0,1719.88,"Aug 20, 2025"
TSLA250919P00300000,8.75,Trade,"TSLA Sep 19, 2025 $300.00 Put",1,0,-875.11,"Aug 20, 2025"
BMNR251017C00050000,10.1,Trade,"BMNR Oct 17, 2025 $50.00 Call",2,0,-2020.23,"Aug 19, 2025"
UNH250829P00295000,4.35,Trade,"UNH Aug 29, 2025 $295.00 Put",-1,0,434.88,"Aug 19, 2025"
UNH250829P00295000,4.45,Trade,"UNH Aug 29, 2025 $295.00 Put",-1,0,444.88,"Aug 19, 2025"
AMZN250919P00235000,9.03,Trade,"AMZN Sep 19, 2025 $235.00 Put",-1,0,902.88,"Aug 19, 2025"
AMZN250919P00235000,9.03,Trade,"AMZN Sep 19, 2025 $235.00 Put",-1,0,902.88,"Aug 19, 2025"
META250919C00755000,23.7,Trade,"META Sep 19, 2025 $755.00 Call",1,0,-2370.11,"Aug 19, 2025"
